bureau_id,v1,v2
130280130535911,5,0
13029003068838,11,1
13030401061623,17,7
13031001046567,22,1
13032101086823,13,2
13033000036398,5,0
130340000570,1,0
13035112078997,14,15
130360050306211,30,2
130370000240,2,0
130380110598515,19,3
13039103070739,17,1
13040002034682,14,1
130410020577215,16,0
13042001055355,8,5
1304300108811610,9,1
130442010415614,15,5
13045002062943,15,0
130461151406510,16,3
13047101076796,16,3
130481010488113,20,3
13049011068807,17,2
1305000406410019,15,2
130511010498010,12,0
13901001044414,14,0
13902001142138,8,0
1390300102741,8,0
13904300658130,6,0
13905001038241,16,0
13906000032312,4,0
13907000077525,16,0
13908001097819,11,1
13909001079784,8,2
13910101043839,20,2
13911003063815,22,4
13912001047496,16,2
13913001083937,20,1
139140010625810,14,4
139150000514312,7,1
13916104044687,11,1
136010010492212,13,1
13602014088834,11,4
13603012261607,8,0
13604002034544,15,1
1370100208586,2,3
1330110311730,8,1
135010010810,3,0
13502000016240,7,3
13503100116212,2,1
13504000268530,14,3
13505000281541,9,4
14001016083353,20,0
1400200103550,16,0
14003002096115,15,0
140040000101168,15,5
14005004081156,15,0
14006000049142,11,0
1400701104585,11,1
140081060321910,9,3
1400900001492,7,2
14010001131179,9,3
14011112010264,7,4
14012006028228,13,2
14013005054345,7,1
14014006241316,23,2
140150100663310,11,3
140160131582511,20,5
14017001066539,10,2
140180051768911,22,2
14019000016121,3,3
14020111015172,7,5
140210020233211,8,3
14022005029261,9,2
14023206231141,10,9
14024008022199,3,1
14025004044386,8,1
140260000402712,12,4
14027013060187,17,1
1402811402493,7,6
14029106242166,6,3
14030005074487,11,8
14031014170448,6,4
14032025276424,21,4
1403301134776,17,1
14034022268100,17,4
14035011062145,20,2
14036003091184,14,0
1403700504462,9,0
14038001060214,8,1
1403911005720,8,4
1404000114285,11,6
1404111205894,12,5
14042005057317,13,0
140430070692412,19,4
14044107068292,17,1
14045001034103,8,0
14046003056264,15,4
14047013067122,17,2
14048001058157,27,2
149011032128386,11,5
14902112064195,6,0
1490300003946,4,1
14904005137324,14,8
14905000046294,11,2
14906102027253,6,3
14907101034230,5,0
14908000046384,5,2
14909103160107,10,4
14910016392244,22,4
1491100103930,4,0
1491201004786,8,0
1491310403122,11,2
14914000070205,5,0
14915012037212,9,2
14916000038323,12,1
14601013194353,25,2
14602007060326,15,3
1460300205293,10,2
14701002010142,3,0
